State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,Recency,Frequency,Monetary,High_Usage,High_Complaints,Total_Calls,Avg_Minutes_Per_Call,Intl_Usage_Ratio,Charge_Per_Minute,Day_Night_Ratio,Intl_Call_Ratio
NJ,95,415,No,Yes,22,40.9,126,6.95,133.4,90,11.34,264.2,91,11.89,11.9,7,3.21,0,False,1,1,-1,2,0,450.4,33.39,0,0,314,1.4298412698412697,0.026362428001772267,0.07396987151085513,0.15422322775263952,0.022222222222222223
LA,67,510,No,No,0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4,False,2,0,-1,0,4,632.6,71.99000000000001,1,1,329,1.916969696969697,0.014520202020202018,0.11362058080808082,1.254141414141414,0.030303030303030304
OR,165,415,No,No,0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,False,2,0,-1,2,0,644.4999999999999,66.5,1,0,361,1.7803867403314915,0.01920991479473277,0.10302091402013945,0.9596809924678777,0.022099447513812154
RI,150,415,No,Yes,29,209.9,77,35.68,158.0,52,13.43,141.9,113,6.39,6.6,1,1.78,0,False,1,2,-1,1,0,516.4,57.28,0,0,243,2.1163934426229507,0.012756088132972555,0.11070738306919212,1.4688593421973408,0.004098360655737705
NC,26,415,No,No,0,234.5,109,39.87,216.5,129,18.4,191.6,94,8.62,3.5,6,0.95,3,False,2,0,-1,2,3,646.1,67.84,1,0,338,1.9058997050147493,0.005408746716118065,0.10483696492041415,1.2175493250259606,0.017699115044247787
MD,79,510,No,Yes,31,103.1,90,17.53,243.0,135,20.66,76.4,92,3.44,12.2,8,3.29,3,False,0,1,-1,0,3,434.7,44.919999999999995,0,0,325,1.3334355828220859,0.028000918062887306,0.10309846224466375,1.3320413436692504,0.024539877300613498
WI,69,510,Yes,No,0,279.8,90,47.57,248.7,91,21.14,171.0,118,7.69,8.4,10,2.27,2,True,2,0,-1,2,2,707.9,78.67,1,0,309,2.2835483870967743,0.011849344054168431,0.11097474961207505,1.6267441860465117,0.03225806451612903
VT,95,510,Yes,Yes,41,136.8,91,23.26,200.8,61,17.07,133.7,67,6.02,10.3,9,2.78,5,True,0,0,-1,0,5,481.6,49.129999999999995,0,1,228,2.103056768558952,0.02134272689598011,0.10180273518441772,1.0155902004454345,0.039301310043668124
NY,157,415,No,No,0,224.5,111,38.17,200.7,99,17.06,116.6,118,5.25,11.5,2,3.11,2,False,0,0,-1,1,2,553.3,63.59,0,0,330,1.6716012084592144,0.020746887966804982,0.11472127007035902,1.909013605442177,0.006042296072507553
VT,80,415,No,No,0,160.6,103,27.3,237.0,109,20.15,245.1,88,11.03,10.7,1,2.89,1,False,1,0,-1,0,1,653.4000000000001,61.370000000000005,1,0,301,2.1635761589403977,0.016350855745721267,0.09378056234718826,0.6525802519301097,0.0033112582781456954
AZ,75,510,No,Yes,37,121.5,97,20.66,271.4,110,23.07,248.7,97,11.19,11.3,5,3.05,2,False,1,0,-1,0,2,652.8999999999999,57.97,1,0,309,2.106129032258064,0.017280929805780706,0.08865269918947853,0.486583900680817,0.016129032258064516
WV,44,510,No,No,0,228.1,121,38.78,276.5,79,23.5,279.8,77,12.59,9.9,5,2.67,2,True,2,1,-1,0,2,794.3000000000001,77.54,1,0,282,2.806713780918728,0.012448132780082987,0.09749779957248837,0.8123219373219372,0.0176678445229682
OK,101,408,No,No,0,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5,True,0,0,-1,0,5,533.4,48.66,0,1,301,1.7662251655629138,0.025261976047904193,0.09105538922155688,0.5242548217416716,0.03642384105960265
WI,117,408,No,Yes,14,80.2,81,13.63,219.0,103,18.62,122.6,102,5.52,8.6,2,2.32,1,False,0,0,-1,2,1,430.4,40.089999999999996,0,0,288,1.489273356401384,0.019935095039406582,0.09292999536393139,0.6488673139158576,0.006920415224913495
PA,82,408,No,No,0,125.7,96,21.37,207.6,137,17.65,183.1,103,8.24,12.9,2,3.48,1,False,0,0,-1,0,1,529.3,50.739999999999995,0,0,338,1.5613569321533922,0.024325853290590234,0.09568168960965491,0.6827810972297664,0.0058997050147492625
NY,39,408,No,No,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2,False,1,0,-1,1,2,507.40000000000003,49.04,0,0,282,1.792932862190813,0.017899291896144767,0.09645948072383949,0.67879813796022,0.0176678445229682
NM,30,415,No,No,0,169.9,144,28.88,225.2,118,19.14,169.7,93,7.64,11.4,7,3.08,1,False,0,0,-1,0,1,576.1999999999999,58.739999999999995,0,0,362,1.5873278236914599,0.019750519750519755,0.10176715176715177,0.9953134153485649,0.01928374655647383
NC,63,415,No,Yes,29,142.3,107,24.19,118.7,56,10.09,240.1,91,10.8,6.6,8,1.78,1,False,1,0,-1,2,1,507.70000000000005,46.86,0,0,262,1.9304182509505705,0.012974248083349713,0.09211716139178297,0.5902115304852759,0.030418250950570342
WY,111,415,No,No,0,146.2,55,24.85,261.5,83,22.23,163.2,116,7.34,8.7,3,2.35,3,False,0,1,-1,2,3,579.6,56.77,0,0,257,2.246511627906977,0.01498449879435067,0.09777816052359628,0.8903775883069427,0.011627906976744186
PA,91,510,No,No,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,11.6,7,3.13,3,False,2,0,-1,0,3,663.1999999999999,67.44999999999999,1,0,362,1.8269972451790633,0.01746461909063535,0.10155073772959951,0.8578830495928942,0.01928374655647383
NV,105,415,Yes,Yes,29,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,True,0,0,-1,1,1,642.1,68.15,1,0,298,2.147491638795987,0.020525579225625874,0.10597107759290936,1.152480417754569,0.020066889632107024
WA,166,408,Yes,Yes,35,128.2,138,21.79,274.5,113,23.33,298.9,130,13.45,8.8,7,2.38,2,False,1,1,-1,1,2,710.3999999999999,60.949999999999996,1,0,388,1.8262210796915164,0.012369974697779031,0.08567613157154907,0.4274758252750917,0.017994858611825194
FL,79,510,No,No,0,130.2,119,22.13,290.9,121,24.73,194.8,140,8.77,14.0,6,3.78,3,False,0,2,-1,0,3,629.9,59.41,1,0,386,1.6276485788113695,0.022190521477254716,0.09416706292597876,0.6649642492339121,0.015503875968992248
ME,105,408,No,Yes,33,209.6,68,35.63,146.9,140,12.49,121.0,131,5.44,10.6,3,2.86,2,False,0,0,-1,2,2,488.1,56.42,0,0,342,1.4230320699708456,0.02167245961970967,0.11535473318339808,1.7180327868852459,0.008746355685131196
LA,172,415,No,No,0,215.7,140,36.67,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,False,2,0,-1,0,3,633.7,62.94,1,0,308,2.0508090614886734,0.011186387269576176,0.09916495982353866,0.8121234939759036,0.003236245954692557
KS,121,408,No,No,0,150.7,105,25.62,197.3,133,16.77,169.0,116,7.61,9.2,15,2.48,1,False,2,2,-1,2,1,526.2,52.48,0,0,369,1.4221621621621623,0.017450682852807282,0.09954476479514414,0.886470588235294,0.04054054054054054
ND,88,415,No,No,0,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2,False,2,2,-1,2,2,549.1,53.620000000000005,0,0,299,1.8303333333333334,0.014361025268133067,0.0974731866933285,0.7794401544401545,0.013333333333333334
WV,153,408,No,Yes,28,235.6,74,40.05,227.9,37,19.37,170.3,103,7.66,15.4,9,4.16,0,False,0,1,-1,0,0,649.1999999999999,71.24,1,0,223,2.8982142857142854,0.02368501999384805,0.10956628729621655,1.3753648569760653,0.04017857142857143
AR,54,415,No,Yes,39,206.9,143,35.17,127.8,72,10.86,199.2,120,8.96,9.2,1,2.48,3,False,2,0,-1,2,3,543.1,57.47,0,0,336,1.611572700296736,0.016908656496967468,0.105623966182687,1.0334665334665336,0.002967359050445104
CA,79,510,No,No,0,157.6,85,26.79,194.1,92,16.5,231.5,86,10.42,9.4,10,2.54,5,True,1,1,-1,2,5,592.6,56.25,1,1,273,2.1627737226277373,0.015835579514824796,0.09476078167115902,0.6778494623655914,0.0364963503649635
MN,55,415,No,No,0,175.6,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0,False,2,1,-1,2,0,636.1999999999999,59.14,1,0,324,1.9575384615384612,0.014595103578154429,0.092812303829253,0.6044750430292599,0.012307692307692308
MT,109,408,No,No,0,264.7,69,45.0,305.0,120,25.93,197.4,86,8.88,9.5,9,2.57,1,True,2,0,-1,1,1,776.6,82.38,1,0,284,2.7249122807017545,0.012217078189300411,0.10594135802469135,1.334173387096774,0.031578947368421054
SD,65,408,No,Yes,31,282.3,70,47.99,152.0,89,12.92,225.5,93,10.15,12.0,4,3.24,1,False,2,0,-1,1,1,671.8,74.3,1,0,256,2.6140077821011674,0.017835909631391204,0.11043400713436385,1.2463576158940397,0.01556420233463035
MT,27,510,No,No,0,193.8,102,32.95,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48,0,False,0,0,-1,1,0,457.8,51.66,0,0,333,1.3706586826347307,0.020052310374891018,0.11259808195292065,1.4156318480642804,0.008982035928143712
WV,32,408,No,Yes,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1,False,0,1,-1,0,1,728.0999999999999,79.07000000000001,1,0,318,2.2824451410658306,0.022356329721574548,0.10844877245919629,1.247427502338634,0.012539184952978056
CT,3,415,No,Yes,36,118.1,117,20.08,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21,2,False,0,0,-1,1,2,455.4,46.8,0,0,337,1.3473372781065087,0.026073619631901843,0.1025416301489921,1.1258341277407053,0.01775147928994083
DE,119,415,No,No,0,176.8,90,30.06,224.7,81,19.1,204.6,77,9.21,7.5,15,2.03,1,False,2,1,-1,0,1,613.6,60.4,1,0,263,2.324242424242424,0.012203058900097624,0.0982753010087862,0.8599221789883269,0.056818181818181816
LA,43,415,No,No,0,241.9,101,41.12,129.4,121,11.0,264.8,104,11.92,5.9,3,1.59,1,False,2,0,-1,0,1,642.0,65.63,1,0,329,1.9454545454545455,0.00917573872472784,0.10206842923794712,0.9100827689992476,0.00909090909090909
KS,116,510,No,No,0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,False,2,2,-1,2,1,598.2,61.14999999999999,1,0,293,2.0346938775510206,0.02186248331108144,0.1020527369826435,0.9163442940038684,0.006802721088435374
WV,107,415,No,No,0,123.1,100,20.93,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51,0,False,1,1,-1,0,0,546.9,48.419999999999995,0,0,269,2.0255555555555556,0.016973900346778613,0.0883737908377441,0.47880202255931537,0.018518518518518517
ND,123,408,No,No,0,159.1,94,27.05,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76,1,False,2,2,-1,2,1,609.6,58.46,1,0,334,1.8197014925373134,0.010645266950540452,0.09574189321978381,0.7822025565388396,0.0029850746268656717
AK,110,408,No,No,0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3.0,3,False,1,0,-1,1,3,548.9,49.05,0,0,248,2.204417670682731,0.020185488270594652,0.08919803600654665,0.48734177215189867,0.0321285140562249
ME,176,415,No,No,0,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73,3,False,0,0,-1,2,3,602.1,65.84,1,0,289,2.0762068965517244,0.016746808157851102,0.10916929199137788,1.436293436293436,0.006896551724137931
MN,13,510,No,Yes,21,315.6,105,53.65,208.9,71,17.76,260.1,123,11.7,12.1,3,3.27,3,False,2,1,-1,2,3,796.7,86.38,1,0,302,2.6293729372937293,0.01516860975303999,0.10828632317914001,1.2087322864802756,0.009900990099009901
KS,88,415,No,No,0,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2,False,2,2,-1,2,2,636.5,63.61,1,0,326,1.9464831804281346,0.023372549019607843,0.09978039215686274,0.8059447983014862,0.009174311926605505
NJ,92,510,No,Yes,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8.0,4,2.16,3,False,1,1,-1,2,3,606.8,56.06999999999999,1,0,336,1.8005934718100889,0.013162224415926292,0.09225074037512339,0.6072684642438453,0.011869436201780416
WI,165,510,No,No,0,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6,False,0,0,-1,2,6,622.5,60.48,1,1,302,2.0544554455445545,0.01748195669607057,0.09700080192461909,0.8124341412012643,0.013201320132013201
AR,156,415,No,No,0,178.8,94,30.4,178.4,97,15.16,169.2,77,7.61,7.5,3,2.03,1,False,2,0,-1,2,1,533.9000000000001,55.2,0,0,271,1.9628676470588238,0.014021312394840155,0.10319685922602355,1.0505287896592246,0.011029411764705883
WA,63,408,No,No,0,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,False,1,1,-1,1,0,638.6,60.4,1,0,255,2.49453125,0.014227642276422764,0.09443402126328955,0.7191714836223507,0.015625
ID,83,415,Yes,Yes,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2,False,1,0,-1,0,2,460.1,41.099999999999994,0,0,324,1.4156923076923078,0.022988505747126436,0.08913467794404682,0.4702085402184707,0.018461538461538463
VA,158,415,No,No,0,222.8,101,37.88,203.0,128,17.26,210.6,106,9.48,6.9,2,1.86,2,False,2,0,-1,2,2,643.3,66.48,1,0,337,1.9032544378698224,0.01070929691137669,0.1031817476330902,1.052930056710775,0.005917159763313609
WV,115,510,Yes,No,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,True,0,1,-1,0,1,659.3999999999999,74.05,1,0,326,2.0165137614678894,0.023167777104784983,0.11212901271956392,1.6365422396856584,0.01834862385321101
UT,103,510,No,Yes,36,87.2,92,14.82,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94,6,True,0,1,-1,0,6,434.09999999999997,39.65,0,1,287,1.5072916666666665,0.02505171225005746,0.09112847621236497,0.5199761478831246,0.017361111111111112
NJ,64,415,No,No,0,224.8,111,38.22,190.0,101,16.15,221.4,110,9.96,9.2,2,2.48,1,False,2,1,-1,2,1,645.4000000000001,66.81,1,0,324,1.985846153846154,0.01423267326732673,0.10335705445544553,1.0107913669064748,0.006153846153846154
MS,86,510,No,Yes,39,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,False,0,0,-1,0,2,643.0,73.01,1,0,329,1.9484848484848485,0.019720496894409936,0.11336956521739132,1.6754329698524695,0.015151515151515152
ME,151,415,No,Yes,26,196.5,98,33.41,175.8,111,14.94,221.8,124,9.98,13.4,5,3.62,0,False,2,0,-1,2,0,607.5,61.949999999999996,1,0,338,1.7920353982300885,0.022021364009860312,0.10180772391125718,0.8819569120287253,0.014749262536873156
NM,87,510,Yes,No,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11.0,6,2.97,1,False,0,0,-1,0,1,509.9,54.27,0,0,332,1.531231231231231,0.02153063221765512,0.10622431004110394,1.2475764354958987,0.018018018018018018
TX,90,415,No,No,0,109.6,88,18.63,137.6,108,11.7,159.7,121,7.19,11.0,5,2.97,2,False,0,0,-1,0,2,417.9,40.489999999999995,0,0,322,1.2938080495356037,0.026259250417760803,0.09665791358319407,0.6820161792159303,0.015479876160990712
LA,108,510,No,Yes,30,276.6,99,47.02,220.1,113,18.71,177.9,95,8.01,9.8,6,2.65,2,False,2,0,-1,0,2,684.4,76.39000000000001,1,0,313,2.179617834394904,0.014298220017508027,0.11145316603443248,1.5461151481274455,0.01910828025477707
TN,33,415,No,Yes,35,186.8,124,31.76,261.0,69,22.19,317.8,103,14.3,15.0,5,4.05,0,False,1,2,-1,1,0,780.6,72.3,1,0,301,2.58476821192053,0.019191402251791195,0.09250255885363357,0.5859473023839398,0.016556291390728478
WI,149,415,Yes,Yes,28,126.9,97,21.57,166.9,102,14.19,145.2,77,6.53,8.8,3,2.38,5,True,0,0,-1,2,5,447.8,44.67,0,1,279,1.5992857142857144,0.0196078431372549,0.09953208556149733,0.8679890560875514,0.010714285714285714
MT,106,510,No,No,0,169.4,107,28.8,197.2,71,16.76,202.2,79,9.1,10.7,4,2.89,1,False,1,0,-1,1,1,579.5,57.550000000000004,0,0,261,2.2118320610687023,0.018432385874246338,0.09913867355727822,0.8336614173228347,0.015267175572519083
ND,167,408,Yes,No,0,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,10.1,4,2.73,2,False,0,2,-1,2,2,641.0,68.23,1,0,295,2.1655405405405403,0.01573208722741433,0.1062772585669782,1.2895821071218363,0.013513513513513514
WI,35,510,No,Yes,27,241.7,87,41.09,142.0,101,12.07,288.9,68,13.0,9.4,4,2.54,1,False,2,0,-1,2,1,681.9999999999999,68.7,1,0,260,2.613026819923371,0.013762811127379213,0.10058565153733531,0.8337357709555019,0.01532567049808429
MO,107,415,No,Yes,22,281.1,83,47.79,143.7,130,12.21,239.4,128,10.77,11.2,9,3.02,1,False,2,1,-1,1,1,675.4000000000001,73.78999999999999,1,0,350,1.9242165242165246,0.016558249556475457,0.10909225310467177,1.1693011647254576,0.02564102564102564
AZ,92,415,Yes,Yes,45,281.1,88,47.79,198.0,103,16.83,94.3,76,4.24,7.5,3,2.03,0,False,0,0,-1,0,0,580.9,70.89,0,0,270,2.143542435424354,0.012888812510740678,0.12182505585152088,2.9496327387198322,0.01107011070110701
VT,38,415,No,No,0,137.8,86,23.43,286.3,76,24.34,167.0,77,7.52,14.1,3,3.81,2,False,0,0,-1,0,2,605.2,59.099999999999994,1,0,242,2.4905349794238685,0.023259650280435498,0.0974925767073573,0.8202380952380953,0.012345679012345678
VA,68,408,Yes,No,0,148.5,126,25.25,219.4,125,18.65,198.5,121,8.93,14.5,7,3.92,1,True,0,0,-1,2,1,580.9,56.75,0,0,379,1.5286842105263156,0.024918370854098645,0.0975253479979378,0.7443609022556391,0.018421052631578946
NE,123,510,No,No,0,194.0,118,32.98,242.0,114,20.57,146.3,108,6.58,12.1,4,3.27,1,False,0,2,-1,2,1,594.4,63.4,1,0,344,1.7228985507246377,0.02032247228753779,0.10648303661404099,1.31704005431093,0.011594202898550725
WA,75,510,No,Yes,41,130.9,115,22.25,203.4,110,17.29,171.7,68,7.73,12.4,4,3.35,1,False,1,1,-1,1,1,518.4,50.62,0,0,297,1.7395973154362416,0.023873700423565656,0.09745860608394301,0.7579617834394905,0.013422818791946308
NM,153,408,No,No,0,185.3,127,31.5,208.0,73,17.68,206.1,124,9.27,15.1,3,4.08,1,False,0,0,-1,0,1,614.5,62.53,1,0,327,1.8734756097560976,0.02453290008123477,0.10159220146222583,0.8947368421052633,0.009146341463414634
FL,143,415,No,No,0,119.1,117,20.25,287.7,136,24.45,223.0,100,10.04,12.2,4,3.29,0,False,0,2,-1,0,0,642.0,58.03,1,0,357,1.7932960893854748,0.018973561430793155,0.090248833592535,0.5316964285714285,0.0111731843575419
SC,87,408,No,No,0,322.5,106,54.83,204.6,93,17.39,186.2,128,8.38,9.4,4,2.54,2,True,2,0,-1,1,2,722.6999999999999,83.14,1,0,331,2.1768072289156626,0.012988807516926906,0.11488185712311733,1.7227564102564104,0.012048192771084338
IN,100,510,No,No,0,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,False,0,0,-1,0,0,580.4,64.06,0,0,321,1.8024844720496893,0.017543859649122806,0.11018231854145168,1.5509325681492108,0.009316770186335404
FL,144,415,No,Yes,51,283.9,98,48.26,192.0,109,16.32,196.3,85,8.83,10.0,4,2.7,1,False,2,2,-1,0,1,682.2,76.11,1,0,296,2.2969696969696973,0.014637002341920374,0.11140222482435597,1.4389254941713125,0.013468013468013467
ND,70,415,No,Yes,31,125.9,101,21.4,196.4,102,16.69,252.7,75,11.37,10.3,4,2.78,1,False,1,2,-1,2,1,585.3,52.24,0,0,282,2.068197879858657,0.017567798055602935,0.08910114275967936,0.4962554197871502,0.014134275618374558
MA,136,408,Yes,No,0,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11.0,4,2.97,3,True,0,0,-1,0,3,494.4,58.129999999999995,0,0,273,1.8043795620437955,0.022204279370205894,0.11733952361727897,2.719346049046321,0.014598540145985401
MO,120,415,No,Yes,24,212.7,73,36.16,257.5,103,21.89,227.8,119,10.25,9.7,13,2.62,2,False,2,1,-1,1,2,707.7,70.92,1,0,308,2.2902912621359226,0.013687032594892054,0.10007055171440665,0.9296328671328671,0.042071197411003236
WY,104,408,No,No,0,183.6,133,31.21,120.7,98,10.26,215.1,112,9.68,12.7,2,3.43,1,False,2,1,-1,2,1,532.1,54.58,0,0,345,1.5378612716763007,0.023822922528606263,0.10238229225286062,0.8496066635816751,0.005780346820809248
CA,75,510,No,Yes,38,163.6,132,27.81,146.7,113,12.47,345.8,115,15.56,13.1,3,3.54,3,False,1,1,-1,2,3,669.1999999999999,59.38,1,0,363,1.8384615384615384,0.019546404058490004,0.08860041778573562,0.4717416378316032,0.008241758241758242
NE,127,510,Yes,No,0,180.9,114,30.75,209.5,118,17.81,249.9,105,11.25,7.4,4,2.0,2,False,2,2,-1,2,2,647.6999999999999,61.81,1,0,341,1.8938596491228068,0.011407430245105597,0.09528287343918608,0.7210043842168194,0.011695906432748537
ID,122,510,No,Yes,33,270.8,96,46.04,220.4,110,18.73,169.9,104,7.65,11.8,8,3.19,4,False,0,0,-1,0,4,672.9,75.61,1,1,318,2.1094043887147333,0.017510016322896574,0.11219765543849236,1.5845523698069046,0.025078369905956112
VT,124,415,No,No,0,178.4,72,30.33,233.6,134,19.86,179.4,91,8.07,12.0,2,3.24,0,False,0,0,-1,0,0,603.4,61.5,1,0,299,2.0113333333333334,0.01985440105890139,0.10175380542686963,0.9889135254988913,0.006666666666666667
MO,167,415,Yes,No,0,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,10.7,3,2.89,2,False,2,1,-1,1,2,493.0,57.63,0,0,309,1.5903225806451613,0.02165991902834008,0.11665991902834008,1.377602701181767,0.00967741935483871
VA,89,415,No,Yes,32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,False,2,0,-1,2,1,692.6000000000001,69.35,1,0,316,2.1848580441640384,0.012543252595155705,0.0999855824682814,0.9320603907637656,0.022082018927444796
VT,73,408,No,No,0,213.0,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,False,0,0,-1,0,0,551.5,62.040000000000006,0,0,291,1.8886986301369864,0.024434389140271493,0.11228959276018101,1.5524781341107874,0.010273972602739725
MS,1,415,No,No,0,144.8,107,24.62,112.5,66,9.56,218.7,79,9.84,13.8,3,3.73,1,False,1,0,-1,0,1,489.8,47.74999999999999,0,0,255,1.91328125,0.028117359413202935,0.09729013854930724,0.6590805644060083,0.01171875
KY,60,408,No,No,0,135.4,134,23.02,205.9,85,17.5,204.0,103,9.18,7.9,4,2.13,1,False,1,0,-1,0,1,553.1999999999999,51.83,0,0,326,1.6917431192660548,0.014254781667268136,0.09352219415373512,0.6604878048780488,0.012232415902140673
WV,77,510,No,No,0,67.7,68,11.51,195.7,86,16.63,236.5,137,10.64,12.0,2,3.24,1,False,1,1,-1,0,1,511.9,42.02,0,0,293,1.741156462585034,0.023396373562097877,0.0819263014232794,0.2850526315789474,0.006802721088435374
DC,76,415,No,No,0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2,False,2,0,-1,2,2,562.8000000000001,60.8,0,0,294,1.9077966101694916,0.011883646683221,0.10783965945370697,1.2142857142857142,0.006779661016949152
IA,63,510,No,No,0,153.5,81,26.1,287.3,115,24.42,230.2,85,10.36,6.5,5,1.76,2,False,1,0,-1,1,2,677.5,62.64,1,0,286,2.3606271777003482,0.009579955784819455,0.09232129697862933,0.6639273356401384,0.017421602787456445
MN,150,415,No,Yes,28,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11.0,4,2.97,1,False,2,1,-1,2,1,556.9,56.129999999999995,0,0,289,1.9203448275862067,0.019716795124574298,0.10060942821294139,0.8608094768015795,0.013793103448275862
VT,101,415,No,No,0,153.8,89,26.15,234.0,89,19.89,196.3,77,8.83,11.6,2,3.13,4,False,0,0,-1,0,4,595.7,58.0,1,1,257,2.3089147286821707,0.01944025473437238,0.0972012736718619,0.779523568170299,0.007751937984496124
AK,132,415,No,Yes,39,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2,False,1,0,-1,1,2,597.0,58.25,1,0,308,1.9320388349514563,0.014381270903010033,0.09740802675585285,0.7757174392935982,0.009708737864077669
CA,158,510,No,No,0,155.9,123,26.5,224.2,112,19.06,221.0,116,9.95,8.6,8,2.32,2,False,2,1,-1,2,2,609.7,57.830000000000005,1,0,359,1.6936111111111112,0.014082200753233992,0.0946946127394793,0.7022522522522523,0.022222222222222223
MS,114,415,No,Yes,34,154.4,109,26.25,221.4,142,18.82,208.5,103,9.38,10.3,5,2.78,0,False,1,0,-1,0,0,594.5999999999999,57.230000000000004,1,0,359,1.6516666666666664,0.01729348556077905,0.09608797850906652,0.7369928400954654,0.013888888888888888
AR,77,415,No,Yes,23,209.7,73,35.65,183.6,63,15.61,205.5,111,9.25,7.1,3,1.92,2,False,2,0,-1,2,2,605.9,62.43,1,0,250,2.4139442231075696,0.011698797165925194,0.10286702916460702,1.0154963680387408,0.01195219123505976
NJ,107,415,No,No,0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,7.7,2,2.08,3,False,2,1,-1,2,3,589.7,60.79,0,0,296,1.9855218855218857,0.01303538175046555,0.10291179955984424,0.9605978260869564,0.006734006734006734
NJ,48,510,No,Yes,22,152.0,63,25.84,258.8,131,22.0,263.2,109,11.84,15.7,5,4.24,2,True,1,1,-1,2,2,689.7,63.92000000000001,1,0,308,2.2320388349514566,0.02273056319675691,0.09254379614883453,0.5753217259651779,0.016181229773462782
TN,59,415,No,No,0,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,5.0,5,1.35,3,False,1,2,-1,1,3,690.5,62.35,1,0,262,2.6254752851711025,0.0072306579898770785,0.09016630513376718,0.5863702623906706,0.019011406844106463
DE,129,510,No,No,0,334.3,118,56.83,192.1,104,16.33,191.0,83,8.59,10.4,6,2.81,0,True,2,1,-1,0,0,727.8,84.56,1,0,311,2.3326923076923074,0.014270032930845226,0.11602634467618003,1.7411458333333334,0.019230769230769232
TX,50,510,No,No,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,False,0,0,-1,0,3,556.2,59.4,0,0,330,1.6803625377643505,0.020818377602297197,0.10660445082555635,1.2362565445026177,0.02416918429003021
MI,50,415,No,Yes,35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,False,1,0,-1,0,2,551.9,56.09000000000001,0,0,301,1.8274834437086092,0.014288298064749504,0.10144691625972149,0.8867403314917127,0.006622516556291391
MS,116,415,No,No,0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,False,0,0,-1,0,2,592.8,65.02,1,0,265,2.228571428571428,0.019029976423038063,0.109498147524419,1.4574111334674715,0.011278195488721804
OK,52,510,No,Yes,38,169.3,88,28.78,225.9,97,19.2,172.0,86,7.74,8.2,3,2.21,0,False,0,0,-1,0,0,575.4000000000001,57.93000000000001,0,0,274,2.0923636363636366,0.014226231783483688,0.1005031228313671,0.9786127167630059,0.01090909090909091
